Gold market premium/discount data,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indian Premium/Discount (US$/oz),,,,"The Indian premium/discount data is sourced from NCDEX (one of the commodity exchanges in India), which started publishing this data from 21 May 2015. Prior to that, premium/discount was calculated using the 'Premia Sheet-Old' worksheet. More information can be found in the accompanying metholdogy note. *Polled Premium for 995 Gold at Ahmedabad in USD/troy oz.",,,,,,,,,
Source: MCX; RBI; NCDEX; World Gold Council,,,,,,,,,,,,,
,,,,,,,,,,,,,
2013-11-22,154.3,,,,,,,,,,,,
2013-11-25,142.5,,,,,,,,,,,,
2013-11-26,153.8,,,,,,,,,,,,
2013-11-27,148.3,,,,,,,,,,,,
2013-11-28,138.2,,,,,,,,,,,,
2013-11-29,143.5,,,,,,,,,,,,
2013-12-02,147.9,,,,,,,,,,,,
2013-12-03,156.6,,,,,,,,,,,,
2013-12-04,167.7,,,,,,,,,,,,
2013-12-05,167.7,,,,,,,,,,,,
2013-12-06,162.4,,,,,,,,,,,,
2013-12-09,160.6,,,,,,,,,,,,
2013-12-10,159.0,,,,,,,,,,,,
2013-12-11,156.8,,,,,,,,,,,,
2013-12-12,149.4,,,,,,,,,,,,
2013-12-13,152.6,,,,,,,,,,,,
2013-12-16,136.0,,,,,,,,,,,,
2013-12-17,133.7,,,,,,,,,,,,
2013-12-18,135.3,,,,,,,,,,,,
2013-12-19,135.1,,,,,,,,,,,,
2013-12-20,151.6,,,,,,,,,,,,
2013-12-23,157.4,,,,,,,,,,,,
2013-12-24,153.2,,,,,,,,,,,,
2013-12-25,153.2,,,,,,,,,,,,
2013-12-26,153.2,,,,,,,,,,,,
2013-12-27,130.6,,,,,,,,,,,,
2013-12-30,136.6,,,,,,,,,,,,
2013-12-31,130.0,,,,,,,,,,,,
2014-01-01,130.0,,,,,,,,,,,,
2014-01-02,138.4,,,,,,,,,,,,
2014-01-03,131.3,,,,,,,,,,,,
2014-01-06,118.2,,,,,,,,,,,,
2014-01-07,107.1,,,,,,,,,,,,
2014-01-08,113.7,,,,,,,,,,,,
2014-01-09,112.6,,,,,,,,,,,,
2014-01-10,117.1,,,,,,,,,,,,
